Name,Price,Rating,Description
"Samsung Galaxy A54 5G (Awesome White, 256 GB)","₹45,999",4.3,"8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.26 cm (6.4 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatteryExynos 1380, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories"
"OnePlus 10T 5G (Jade Green, 256 GB)","₹34,999",4.1,12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera4800 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"Samsung Galaxy A36 5G (Awesome White, 256 GB)","₹31,949",4.3,8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP | 12MP Front Camera5000 mAh BatteryQualcomm Snapdragon 6 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"MOTOROLA Signature (PANTONE Martini Olive, 256 GB)","₹59,999",No Rating,12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Super HD Display50MP + 50MP + 50MP | 50MP Front Camera5200 mAh Battery8 Gen 5 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"MOTOROLA Signature (PANTONE Carbon, 256 GB)","₹59,999",No Rating,12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Super HD Display50MP + 50MP + 50MP | 50MP Front Camera5200 mAh Battery8 Gen 5 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"OnePlus 13 (Arctic Dawn, 256 GB)","₹63,885",4.5,12 GB RAM | 256 GB ROM17.32 cm (6.82 inch) Display50MP Rear Camera6000 mAh Battery1 year in handset and 6 months in accessories
"Samsung Galaxy S23 5G (Green, 128 GB)","₹89,999",4.6,8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"MOTOROLA Signature (PANTONE Martini Olive, 1 TB)","₹69,999",No Rating,16 GB RAM | 1 TB ROM17.27 cm (6.8 inch) Super HD Display50MP + 50MP + 50MP | 50MP Front Camera5200 mAh Battery8 Gen 5 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"Samsung Galaxy S23 5G (Phantom Black, 256 GB)","₹95,999",4.6,8 GB RAM | 256 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"OPPO Find N3 Flip (Cream Gold, 256 GB)","₹48,990",4.2,12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD Display50MP + 48MP + 32MP | 32MP Front Camera4300 mAh BatteryMediatek Dimensity 9200 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Samsung Galaxy A73 5G (Awesome Mint, 256 GB)","₹49,990",4.2,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display108MP + 12MP + 5MP + 5MP | 32MP Front Camera5000 mAh Li-ion BatteryQualcomm Snapdragon 778G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box
"OnePlus 11R 5G (Galactic Silver, 256 GB)","₹34,880",4.5,16 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera | 16MP Front Camera5000 mAh BatteryDomestic warranty of 12 months on phone & 6 months on accessories
"Samsung Galaxy Z Flip7 5G (Coralred, 512 GB)","₹1,21,999",4.5,12 GB RAM | 512 GB ROM17.53 cm (6.9 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4300 mAh BatteryExynos 2500 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"Samsung Galaxy S23 5G (Lavender, 256 GB)","₹95,999",4.6,8 GB RAM | 256 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"Samsung Galaxy A54 5G (Awesome Lime, 256 GB)","₹45,999",4.3,"8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.26 cm (6.4 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatteryExynos 1380, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories"
"Samsung Galaxy A73 5G (Awesome Gray, 128 GB)","₹47,490",4.2,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display108MP + 12MP + 5MP + 5MP | 32MP Front Camera5000 mAh Li-ion BatteryQualcomm Snapdragon 778G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box
"OnePlus 10T 5G (Jade Green, 128 GB)","₹31,299",4.3,"8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera4800 mAh Battery1 year on phone, 6 months on accessories"
"Google Pixel 7 (Obsidian, 128 GB)","₹33,999",4.3,8 GB RAM | 128 GB ROM16.0 cm (6.3 inch) Full HD+ Display50MP + 12MP | 10.8MP Front Camera4270 mAh BatteryGoogle Tensor G2 Processor1 Year Domestic Warranty
"OPPO Reno10 Pro+ 5G (Silvery Grey, 256 GB)","₹59,999",4.5,12 GB RAM | 256 GB ROM17.12 cm (6.74 inch) Full HD+ Display50MP + 64MP + 8MP | 32MP Front Camera4700 mAh BatterySnapdragon 8+ Gen 1 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Samsung Galaxy S7 (Gold Platinum, 32 GB)","₹46,000",4.4,4 GB RAM | 32 GB ROM | Expandable Upto 200 GB12.95 cm (5.1 inch) Quad HD Display12MP Rear Camera | 5MP Front Camera3000 mAh Li-Ion BatteryExynos 8890 Octa Core 2.3GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
